Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
360 ONE Balanced Hybrid Fund-Reg(G),Mayur Patel,HY-EQ,Unrated,838.3,1.99,Open Ended,25-Sep-23,NIFTY 50 Hybrid Composite Debt 50:50 Index,12.29,12.57,11.20,1.87,2.52,-0.11,8.88,-,-,-,-,60,49,94950,20.97,9.82,11.93,Financials,3.09,-,7.26,0.33,0.36,0.77,0.52,7.22,Hybrid : Equity Oriented,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
360 ONE Dynamic Bond Fund-Reg(G),Milan Mody,DT-DYN,2,723.9,0.52,Open Ended,24-Jun-13,CRISIL Dynamic Bond Index,22.45,22.45,20.22,1.92,3.63,5.26,11.14,9.03,7.67,7.24,7.01,0,1,-,-,-,-,-,6.40,-,7.27,-0.14,0.50,1.01,0.87,2.00,Debt : Dynamic Bond,Nil
360 ONE ELSS Tax Saver Nifty 50 Index Fund-Reg(G),Ashish Ongari,EQ-ELSS,Unrated,79.4,0.52,Open Ended,28-Dec-22,NIFTY 50 - TRI,13.55,14.56,12.14,3.34,4.64,0.03,8.41,16.43,-,-,-,6,50,545920,98.33,0.86,-,Financials,-,-,-,-0.05,0.24,0.50,0.99,11.35,Equity : Tax Saving (ELSS),Nil
360 ONE Flexicap Fund-Reg(G),Mayur Patel,EQ-FLEX,Unrated,1445.3,2.10,Open Ended,30-Jun-23,BSE 500 - TRI,14.21,16.10,12.95,2.25,1.84,-5.92,7.89,-,-,-,-,26,48,96377,45.75,24.03,24.15,Financials,-,-,-,0.29,0.31,0.60,1.04,14.88,Equity : Flexi Cap,1% on or before 365D Nil after 365D
360 ONE Focused Equity Fund-Reg(G),Mayur Patel,EQ-MLC,4,6729.5,1.76,Open Ended,30-Oct-14,BSE 500 - TRI,44.67,50.23,41.51,1.72,3.39,-4.07,3.48,19.59,16.37,23.52,15.35,32,31,160311,59.48,19.89,17.94,Financials,-,-,-,0.12,0.22,0.41,0.93,13.97,Equity : Multi Cap,1% on or before 12M
360 ONE Gold ETF,Rahul Ranjan,GOLD-ETF,Unrated,14.2,0.43,Open Ended,07-Mar-25,Gold-India,92.87,97.30,85.73,5.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold : ETFs,null
360 ONE Liquid Fund-Reg(G),Milan Mody,DT-LIQ,1,1016.8,0.32,Open Ended,13-Nov-13,CRISIL Liquid Debt Index,1990.59,1990.59,1858.93,0.56,1.75,3.50,7.11,7.10,6.68,5.22,5.87,0,-,-,-,-,-,-,0.12,-,7.02,-0.03,2.50,0.98,1.09,0.29,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
360 ONE Quant Fund-Reg(G),Ashish Ongari,EQ-THEM,Unrated,631.7,1.99,Open Ended,29-Nov-21,BSE 200 - TRI,18.38,20.71,15.98,4.83,6.08,-0.91,8.75,31.99,23.58,-,-,62,35,118259,63.75,35.71,-,Financials,-,-,-,0.46,0.28,0.55,1.20,17.76,Equity : Thematic,1% on or before 12M Nil after 12M
360 ONE Silver ETF,Rahul Khetawat,GOLD-ETF,Unrated,6.8,0.41,Open Ended,28-Mar-25,Silver,94.31,100.69,90.18,-6.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold : ETFs,null
Aditya Birla SL Arbitrage Fund(G),Lovelish Solanki,HY-ARB,3,14236.1,1.01,Open Ended,24-Jul-09,Nifty 50 Arbitrage - TRI,26.33,26.33,24.52,0.72,1.95,3.66,7.28,7.47,6.67,5.42,5.80,1230,174,185148,46.38,15.32,3.16,Financials,1.06,0.79,7.43,0.21,1.22,0.97,-,0.58,Hybrid : Arbitrage,0.25% on or before 15D Nil after 15D
